;
;
Document Title; Specification of Persistency
Document Owner; AUTOSAR
Document Responsibility; AUTOSAR
Document Identification No; 858
Document Status; Final
Part of AUTOSAR Standard; Adaptive Platform
Part of Standard Release; 19-03
;
;
SW Req Number; Description
SWS_PER_00309; Persistent data shall always be local to one Process.
SWS_PER_00210; The Persistency cluster shall encrypt data before storing it to the persistent memory.
SWS_PER_00211; The Persistency cluster shall decrypt data after reading it from persistent memory.
SWS_PER_00317; The Persistency cluster shall store redundant information for every Key-Value Storage and every File Storage represented by a PortPrototype typed by a PersistencyInterface where PersistencyInterface.redundancy is set to redundant.
SWS_PER_00221; The Persistency cluster shall use the redundant information to detect data corruption in the persistent memory.
SWS_PER_00222; The Persistency cluster shall use the redundant information to recover corrupted data if possible.
SWS_PER_00318; In case a PersistencyRedundancyHandling aggregated as PersistencyDeployment.redundancyHandling is derived as PersistencyRedundancyCrc, the Persistency cluster shall calculate a CRC value with the bit width defined by length when persisting the Key-Value Storage or a file in the File Storage, and shall use this CRC to check the Key-Value Storage or the file in the File Storage when it is read back.
SWS_PER_00319; In case a PersistencyRedundancyHandling aggregated as PersistencyDeployment.redundancyHandling is derived as PersistencyRedundancyMOutOfN, the Persistency cluster shall store N copies when persisting the Key-Value Storage or a file in the File Storage, and shall check that at least M of the N copies of the Key-Value Storage or the file in the File Storage are identical when it is read back. N is defined by n, and M is defined by m.
SWS_PER_00378; Persistency shall store the Executable.version and the SoftwareCluster.version of the manifest persistently.
SWS_PER_00379; Elements defined in the deployment data (PersistencyKeyValueDatabase and PersistencyFileArray and associated classes) shall always be preferred over elements defined in the application design (PersistencyKeyValueDatabaseInterface and PersistencyFileProxyInterface and associated classes). The latter shall only be used if the former does not exist.
SWS_PER_00251; An update strategy defined in the deployment data (PersistencyDeployment.updateStrategy, PersistencyKeyValuePair. updateStrategy, PersistencyFile.updateStrategy) shall always be preferred over the update strategy defined in the application design (PersistencyInterface. updateStrategy, PersistencyDataElement.updateStrategy, PersistencyFileProxy.updateStrategy). The latter shall only be used if the former does not exist.
SWS_PER_00380; An update strategy defined for a single key (PersistencyKeyValuePair. updateStrategy, PersistencyDataElement.updateStrategy) shall always be preferred over the update strategy defined for the enclosing Key-Value Storage (PersistencyDeployment.updateStrategy, PersistencyInterface. updateStrategy). The latter shall only be used if the former does not exist.
SWS_PER_00381; An update strategy defined for a single file (PersistencyFile. updateStrategy, PersistencyFileProxy.updateStrategy) shall always be preferred over the update strategy defined for the enclosing File Storage (PersistencyDeployment.updateStrategy, PersistencyInterface. updateStrategy). The latter shall only be used if the former does not exist.
SWS_PER_00382; When a Key-Value Storage or File Storage is opened by the application using OpenKeyValueStorage or OpenFileStorage, or when UpdatePersistency is called, the Persistency shall check for the existence of stored data. If no persistent data is found, the Persistency shall initialize the persistent data.
SWS_PER_00383; Persistency shall create a Key-Value Storage for each PortPrototype typed by a PersistencyKeyValueDatabaseInterface that is found in the manifest of a newly installed Adaptive Application. The Key-Value Storage shall be identified at run-time by the shortName path of the PortPrototype, passed as InstanceSpecifier to OpenKeyValueStorage.
